# EXPERIMENT F1 -- raw sweep-extreme stop, no 0.20 x 5m ATR buffer. Pooled foldSel=ALL.
# Source: p15/exec_arms/V53_EXEC_P15_F1_stop_raw_extreme.pine
#   sha256 4b305b21e3a2470575585945e79e94f91cb8a36d9f4524e70c72a4f620424af9
#   derived from p15/executed/V53_EXECUTED_BUILD.pine (sha256 2dafbafd...), 1 hunk, +1/-1 line.
#   Output layer byte-identical to the executed baseline (verified).
# Injected via pine_set_source (602 lines) + pine_smart_compile; pineVersion 140.0 -> 141.0.
# Residue checks before injection: C1 aA 0, D1 marker 0, E1 marker 0; qV BOS fallback present;
#   strict single-bar FVG test present. All frozen inputs verified after compile (in_4 bufATR
#   remains 0.2 as an input but is no longer referenced by the stop assignment).
#
# INVARIANT ENFORCED (corrected before the run):
#   sweeps -> CHOCH -> CHOCH retest -> BOS+disp -> FVG must be baseline-identical. Any change
#   there is an upstream leak and a hard stop.
#   FILLS ARE NOT PART OF THE INVARIANT. The stop sits inside the fill gate: the fill loop
#   computes r = |E - stp|, ratio = r / ATR, and fills only if minRatr <= ratio <= maxRatr.
#   Changing the stop changes r, so it can move a touch across the R-band boundary. Any fills
#   delta must therefore be fully absorbed by the R-band reject counter, verified by the
#   conservation identity  FVG = fills + R-band rejects + FVG retest expiry,  which holds
#   exactly on baseline data. Columns rbandRej and fvgExp are recorded per cell for audit.
MGC L 1m ALL | bars 19218 | cov 18645 | sw 884 | ch 738 | rt 664 | bos 12 | fvg 10 | fill 5 | W1 Ls3 TO1 | Rpre 1 | Rpost 0.57 | avg 0.114 | med -1.0309 | mcL 3 | ddR 3.354 | ddU 177 | usd 27 | ASSERT 0/0/0/0/0/0/0/0 | rbandRej 2 | fvgExp 3
MGC1!|L|1m|ALL|sw 2026-06-05 11:20|SW|swX 4484.3|ch 2026-06-05 11:47|chL 4492.6|rt 2026-06-05 11:49|bos 2026-06-05 11:51|bosL 4493.9|fvg 4494.8-4497.6|en 2026-06-05 11:55|enPx 4494.8|stop 4484.3|LOSS|-1.029R|$-108|stop|7bars
MGC1!|L|1m|ALL|sw 2026-06-26 12:20|SW|swX 4056.7|ch 2026-06-26 12:50|chL 4059.3|rt 2026-06-26 12:51|bos 2026-06-26 12:57|bosL 4061.2|fvg 4063-4068.5|en 2026-06-26 13:05|enPx 4063|stop 4056.7|WIN|4.952R|$312|target|11bars
MGC1!|L|1m|ALL|sw 2026-07-10 20:00|AS|swX 4116.4|ch 2026-07-10 20:21|chL 4120.7|rt 2026-07-10 20:22|bos 2026-07-10 20:53|bosL 4121.1|fvg 4122.4-4126.2|en 2026-07-12 22:00|enPx 4122.4|stop 4116.4|LOSS|-1.05R|$-63|stop|1bars
MGC1!|L|1m|ALL|sw 2026-08-04 10:45|SW|swX 4108.1|ch 2026-08-04 11:10|chL 4111.6|rt 2026-08-04 11:11|bos 2026-08-04 11:43|bosL 4120.7|fvg 4117.8-4119.6|en 2026-08-04 12:10|enPx 4117.8|stop 4108.1|LOSS|-1.031R|$-100|timeout|144bars
MGC1!|L|1m|ALL|sw 2026-08-10 00:00|SW|swX 4391.4|ch 2026-08-10 00:50|chL 4395|rt 2026-08-10 00:51|bos 2026-08-10 01:01|bosL 4396.4|fvg 4392.5-4393.9|en 2026-08-10 01:05|enPx 4392.5|stop 4391.4|LOSS|-1.273R|$-14|stop|1bars
MGC L 3m ALL | bars 19218 | cov 19218 | sw 884 | ch 344 | rt 259 | bos 19 | fvg 13 | fill 6 | W1 Ls5 TO0 | Rpre 0 | Rpost -0.166 | avg -0.0277 | med -1.024 | mcL 5 | ddR 5.14 | ddU 617 | usd -45 | ASSERT 0/0/0/0/0/0/0/0 | rbandRej 3 | fvgExp 4
MGC1!|L|3m|ALL|sw 2026-05-28 04:50|PD|swX 4397.3|ch 2026-05-28 05:09|chL 4403.9|rt 2026-05-28 05:12|bos 2026-05-28 05:30|bosL 4406.4|fvg 4408.8-4412.6|en 2026-05-28 06:05|enPx 4408.8|stop 4397.3|WIN|4.974R|$572|target|83bars
MGC1!|L|3m|ALL|sw 2026-07-03 07:00|SW|swX 4184|ch 2026-07-03 07:48|chL 4193.6|rt 2026-07-03 07:51|bos 2026-07-03 08:00|bosL 4194.7|fvg 4190.4-4194.7|en 2026-07-03 08:45|enPx 4190.4|stop 4184|LOSS|-1.047R|$-67|stop|8bars
MGC1!|L|3m|ALL|sw 2026-07-13 00:40|PD|swX 4076.3|ch 2026-07-13 01:06|chL 4085.4|rt 2026-07-13 01:09|bos 2026-07-13 01:30|bosL 4090.9|fvg 4088.7-4090.8|en 2026-07-13 01:50|enPx 4088.7|stop 4076.3|LOSS|-1.024R|$-127|stop|1bars
MGC1!|L|3m|ALL|sw 2026-07-13 00:35|SW|swX 4070.3|ch 2026-07-13 01:06|chL 4085.4|rt 2026-07-13 01:09|bos 2026-07-13 01:30|bosL 4090.9|fvg 4088.7-4090.8|en 2026-07-13 01:50|enPx 4088.7|stop 4070.3|LOSS|-1.016R|$-187|stop|15bars
